participant_id,session_timestamp,session_uuid,unix_timestamp_ms,event_type,game_mode,game_phase,target_id,target_type,target_x_normalized,target_y_normalized,target_x_pixels,target_y_pixels,target_index,game_score_at_event
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451496962,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_011,hand-right,0.217157287525381,0.7999999999999999,312.70649403654863,1048.8,23,23
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451496962,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_012,hand-right,0.1304481869954854,0.7121320343559645,187.845389273499,933.6050970406695,24,23
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451497319,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_012,hand-right,0.1304481869954854,0.7121320343559645,187.845389273499,933.6050970406695,24,24
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451497319,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_013,hand-right,0.1,0.5000000000000001,144,655.5000000000001,25,24
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451498128,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_013,hand-right,0.1,0.5000000000000001,144,655.5000000000001,25,25
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451498128,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_014,hand-right,0.13044818699548533,0.2878679656440356,187.84538927349888,377.3949029593307,26,25
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451498392,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_014,hand-right,0.13044818699548533,0.2878679656440356,187.84538927349888,377.3949029593307,26,26
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451498392,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_015,hand-right,0.2171572875253809,0.19999999999999998,312.7064940365485,262.2,27,26
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451499037,stimuli_stop,hands-fixed,targeting,right_hand_figure8_trial1_015,hand-right,0.2171572875253809,0.19999999999999998,312.7064940365485,262.2,27,27
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451499037,stimuli_start,hands-fixed,targeting,right_hand_figure8_trial1_016,hand-right,0.3469266270539638,0.28786796564403544,499.5743429577079,377.39490295933047,28,27
